nr,titel,artiest,jaar
329,Broken wings,Mr Mister,1986
330,Binnen zonder kloppen,De Dijk,1985
331,Money for nothing,Dire Straits,1985
332,I'm on fire,Bruce Springsteen,1985
333,Is dit alles,Doe Maar,1982
334,The power of love,Frankie goes to Hollywood,1984
335,Waarom nou jij,Marco Borsato,1994
336,We are the world,USA for Africa,1985
337,Memories,Barbra Streisand,1977
338,Little green bag,George Baker Selection,1969
339,Band on the run,Paul McCartney & Wings,1974
340,Nescio,Nits,1983
341,The long and winding road,Beatles,1970
342,It must have been love,Roxette,1990
343,She,Charles Aznavour,1974
344,Vlieg met me mee,Paul de Leeuw,1992
345,I will survive,Gloria Gaynor,1979
346,Suzanne,Herman van Veen,1969
347,Autobahn,Kraftwerk,1975
348,Mandy,Barry Manilow,1974
349,I'm going home,Ten Years After,1971
350,Blueberry Hill,Fats Domino,1957
351,Brown sugar,Rolling Stones,1971
352,Unchain my heart,Joe Cocker,1987
353,Dreamer,Supertramp,1974
354,Tonight,Tina Turner & David Bowie,1984
355,Leningrad,Billy Joel,1989
356,Overture from Tommy,Who,1970
357,Nothing rhymed,Gilbert O'Sullivan,1971
358,Vous permettez monsieur,Adamo,1964
359,Have a little faith in me,John Hiatt,1989
360,Don't cry for me Argentina,Julie Covington,1977
361,Never tear us apart,INXS,1988
362,Stop loving you,Toto,1988
363,Your song,Elton John ,1971
364,Still got the blues,Gary Moore,1990
365,Heal the world,Michael Jackson,1992
366,I just called to say I love you,Stevie Wonder,1984
367,Apache,Shadows,1960
368,I am..... I said,Neil Diamond,1971
369,Into temptation,Crowded House,1989
370,Vivo per lei,Andrea Bocelli,1996
371,Een meisje van 16,Boudewijn de Groot,1965
372,The Wall Street shuffle,10CC,1974
373,Eve of destruction,Barry McGuire,1965
374,Jumpin' Jack flash,Rolling Stones,1968
375,Pinball wizard,Who,1969
376,It's raining men,Weather Girls,1983
377,YMCA,Village People,1978
378,Weather with you,Crowded House,1992
